"T1_1h_R1";"T1_2h_R1";"T1_3h_R1";"T1_4h_R1";"T1_5h_R1";"T1_6h_R1";"T2_1h_R1";"T2_2h_R1";"T2_3h_R1";"T2_4h_R1";"T2_5h_R1";"T2_6h_R1";"T3_1h_R1";"T3_2h_R1";"T3_3h_R1";"T3_4h_R1";"T3_5h_R1";"T3_6h_R1";"T1_1h_R2";"T1_2h_R2";"T1_3h_R2";"T1_4h_R2";"T1_5h_R2";"T1_6h_R2";"T2_1h_R2";"T2_2h_R2";"T2_3h_R2";"T2_4h_R2";"T2_5h_R2";"T2_6h_R2";"T3_1h_R2";"T3_2h_R2";"T3_3h_R2";"T3_4h_R2";"T3_5h_R2";"T3_6h_R2"
"G1";0.1670087028082;0.682881306345009;-0.180177529125134;0.0753482060393775;-0.00164193140172897;0.501269450498847;-0.590391918024632;0.192059477635597;0.815695083091434;2.26675704959112;2.97144429041913;3.4406269176254;0.0123283219986556;0.0891144943714424;0.880086543003957;2.13233914877631;2.25166065114825;3.25912717432634;-0.0122871082528645;0.621032222244414;0.341691068375171;-0.126270638989895;-0.565363412188008;0.274849883103664;-0.116039777774403;-0.136746321787226;0.263300523638527;1.90777316581633;2.46657414087206;3.39695815121299;0.69661002481731;1.04083287864311;0.81048562695862;2.52592155072292;3.26804111058376;3.08957341513707
"G2";0.18762073513264;0.815365399730626;-0.0457351801724486;0.18151827078183;0.467269350930468;-0.759716170496194;0.377821393494737;2.51033300466057;2.38765706129945;2.9989711302705;2.71273649319855;2.35300701668867;0.426436066073963;2.63657706544593;2.69497789235752;3.23183489852437;3.13202748052084;2.25210410319036;-0.332715345301319;0.319414992466669;-0.0542016511732917;0.238176648988431;0.422609353307841;0.654694394489935;0.649096098075562;2.58435405995657;2.76125279880217;2.44067344280597;2.3819174966907;2.26074474082948;0.676540484726757;2.44379603992493;2.71306295430275;2.86785532196918;2.62292208906165;2.05182873216437
"G3";-0.0520764484021643;-0.0294365255478288;0.261408819172082;-0.31738913277222;-0.386265864584341;0.420685998650876;0.208240571330836;-0.998712493384975;-2.58381507346862;-3.37231920171733;-3.83725806086091;-3.49941646577898;-0.230019850598659;-1.52482195045852;-2.29409990125926;-2.81425700670759;-3.29473409863815;-2.51070834195476;-0.352171978698152;-0.0760185971764602;-0.339406640980776;-0.13203982307379;-0.155565907558677;-0.180515521185995;0.185724078447589;-1.20302194070753;-1.76991658474702;-3.32394782291724;-2.63225084149202;-2.87761763930698;-0.281549255717067;-1.29271342660128;-1.91382361762136;-3.88645837262585;-3.12932887785321;-3.110749982155
"G4";-0.230785339538063;-0.753946500492015;-0.244922639529531;-0.704300138306669;-0.117073373568852;-0.382628104815831;0.409571839780661;0.233312234928878;0.967909636124114;0.890277997914034;1.28315540106886;1.8156744264137;0.087645394452049;0.199689686056147;0.90925720505097;0.816392650662901;0.896785800931468;2.28910025604084;-0.0325888809109465;-0.230637434715712;-0.148021026749732;-0.261172912783242;0.0572348257225608;0.0733490943170927;0.582974481166363;0.868200242288068;1.0245475152556;2.05961051183017;1.73719896084994;2.35900621626489;0.0940112751796285;0.944674911239445;0.404324647514908;1.1554457174424;1.89056421829022;2.44274698213725
"G5";-0.205473371673671;-0.688820630535136;-0.181084292457159;-0.0665653790228911;0.521708650929479;0.448093894235882;-0.449139485833049;-1.51438242635792;-3.81537628220098;-2.50301074964816;-2.91443707904242;-3.57275972890651;-0.664469881800527;-2.52206409458588;-1.79698657580021;-2.967056380757;-2.99181588026815;-2.83682848359259;-0.249909102507758;-0.237592463255937;-0.741474484396918;0.50437953620041;0.354860021501365;0.698309385242383;-0.670518194777834;-2.48903942894757;-2.39893617285637;-2.55176592338457;-2.47443654426937;-3.1445428371992;-0.619518359230194;-2.70641946013841;-2.82849783079725;-2.84934152140088;-2.93825907657888;-3.39069261263217
"G6";-0.61951031061927;-0.856137572444031;-0.021083911119149;-0.144561564857705;0.49344923971163;0.45369548719073;-0.571567926654624;-1.47552916964125;-3.07863525882144;-2.21752711394945;-2.26586462552489;-3.35918012637587;-0.542704320741065;-2.28138314129394;-1.5971482629502;-2.63514651558131;-2.42474398288711;-2.53558833792327;-0.526562340545118;-0.347359147224861;-0.639910549616782;0.274070257403814;0.346683718832525;0.662602071315915;-0.670472032693997;-2.4162352413873;-2.20997523540593;-2.19761277932438;-2.2384780449192;-2.46811999770479;-0.842288522809653;-2.44781416552472;-2.55242220908989;-2.48370904933582;-2.46109665148794;-2.97051364275189
"G7";0.022350221007116;0.408112764224627;0.0837134002002933;0.0941409666284656;-0.0126684523573637;0.308292686981075;0.272254972821896;1.79475002868882;2.38671027156029;2.48038602671955;1.99156595662313;2.3313554388349;0.313368789391995;2.02630444919393;2.62239983117833;2.39111512360321;2.10589743099957;2.32797819190646;-0.378435893578037;-0.475249261331369;0.0584602876299112;-0.391383246950181;-0.305318894597232;-0.318855204085066;0.61719036681396;2.046657968543;2.33360356962563;2.14262558783227;1.83801981552816;2.23942273691434;0.382586555536575;2.23638807594101;2.47254404221711;2.11904934520855;2.10921060798072;2.37664391918589
"G8";0.0897187854884325;0.289919430521566;0.0955173129565048;0.12260099811023;-0.264330234136883;-0.051410781783134;0.309156448400312;0.880169513184233;-0.0766793501742264;-1.62669671731737;-2.50679441301568;-1.68521054982966;0.560548662883215;1.04382775709758;-0.892465004859751;-1.9440200381592;-2.44122228287643;-2.04733108731075;0.354458811236702;0.00142285959517174;0.0701594310369882;-0.309829379983628;-0.303634950631829;-0.615368322439999;0.197125947987794;0.174785346163108;-0.258368954319587;-1.40472578040303;-2.49321190157294;-2.11642290944926;0.0826544976906392;0.332158896532805;-0.370274788353673;-2.23230694223396;-1.97875651094378;-2.10200330689945
"G9";0.308707297652515;0.817226240571558;-0.561473696980561;0.181479325505596;-0.337045616946684;-0.373166177602351;-0.208943046368331;-1.28998669738434;-2.63322880647505;-2.40108246996536;-2.43974374074717;-2.0335778733299;-0.270860620275216;-1.17607995069724;-3.01792393089807;-2.95278119532858;-2.96355686212142;-2.49067426791125;0.302973226110854;0.547722401718159;0.588542848465385;-0.907732278293001;-1.42798244249608;-0.699310856514107;0.163091716190475;-2.30674606336186;-2.32066602622834;-3.29380626872573;-2.96687778857119;-3.18306284507921;-0.194661052334053;-2.10675669595507;-2.62356306421839;-3.02374738254161;-2.80722515043543;-2.69817974784368
"G10";0.192492920679311;0.147687294260109;0.242387302400635;0.561824906415038;0.045314177683085;-0.635164393432327;0.526285078860874;1.43148420067563;1.84204775231084;1.83282514323738;1.92424716467997;2.19226450372327;0.412674125982756;1.68756470777371;1.81185546249962;1.86792497927834;2.14248832463983;2.09804964700591;-0.23444077407354;-0.289916318138693;0.725022974797153;-0.487764562435855;-0.289366412059717;-0.648621821740083;0.272046791688946;1.46954573989005;1.83160832328035;1.61813552177231;2.19128338315946;2.18858458285386;0.170433018608632;1.5124229549251;2.05069321720956;1.55869369166416;2.31767252417577;2.15618523962906
